date,time,latitude,longitude,number_of_vehicles,number_of_casualties,speed_limit
03/01/2023,19:12,51.356551,-0.097759,1,1,30
07/01/2023,10:05,51.593701,0.022379,1,1,30
14/01/2023,16:15,51.466689,-0.011289,1,1,20
15/01/2023,19:51,51.671577,-0.037543,1,1,30
16/01/2023,19:22,51.447944,0.117279,2,1,30
16/01/2023,22:33,51.551498,-0.199477,2,1,20
21/01/2023,19:06,51.484359,-0.393765,1,1,20
26/01/2023,22:03,51.639292,-0.022953,1,1,30
05/02/2023,20:30,51.517223,0.072594,2,5,40
08/02/2023,13:34,51.634298,-0.069788,1,1,40
11/02/2023,03:15,51.600339,-0.011924,1,1,50
17/02/2023,05:20,51.50044,0.142794,1,1,50
19/02/2023,19:31,51.490639,0.082307,5,4,30
21/02/2023,21:37,51.549155,0.092435,1,1,30
23/02/2023,20:20,51.502327,-0.188952,1,1,20
28/02/2023,19:42,51.51838,-0.186139,1,1,20
28/02/2023,18:48,51.63811,-0.27361,4,1,70
08/03/2023,09:43,51.435395,-0.128195,1,2,20
20/03/2023,02:28,51.512052,-0.028611,2,2,20
20/03/2023,22:45,51.469111,-0.141991,2,1,20
27/03/2023,23:55,51.482801,-0.501589,3,1,70
02/04/2023,02:40,51.461372,-0.115731,1,1,20
05/04/2023,14:05,51.373703,-0.231706,1,1,20
18/04/2023,14:50,51.367048,0.04723,1,1,40
19/04/2023,08:30,51.506647,0.22524,4,2,50
28/04/2023,13:11,51.517546,-0.250239,2,2,20
28/04/2023,18:43,51.630996,-0.096659,1,1,20
01/05/2023,21:17,51.481013,-0.462807,1,1,50
03/05/2023,16:45,51.598686,0.020637,1,1,30
06/05/2023,09:05,51.576194,0.052314,2,1,40
06/05/2023,09:22,51.52669,-0.292258,3,1,30
10/05/2023,15:20,51.493381,-0.198411,3,1,30
11/05/2023,20:15,51.433027,-0.117948,2,1,20
13/05/2023,16:35,51.552457,-0.01958,2,3,30
17/05/2023,13:21,51.57812,-0.416858,3,1,30
18/05/2023,03:59,51.417401,-0.126543,1,1,30
24/05/2023,07:40,51.521363,-0.137746,2,1,20
24/05/2023,15:30,51.467494,-0.172407,1,1,20
28/05/2023,16:17,51.492981,-0.428826,1,1,30
30/05/2023,14:50,51.61191,-0.043396,1,2,40
06/02/2023,09:36,51.461584,-0.115492,1,1,20
09/06/2023,02:15,51.454874,0.026399,2,1,30
09/06/2023,17:25,51.565104,-0.324624,2,1,30
12/06/2023,09:00,51.615713,-0.082565,2,2,50
22/06/2023,00:29,51.642556,-0.060707,3,1,40
24/06/2023,06:22,51.374924,-0.303299,1,1,30
26/06/2023,15:29,51.579146,0.072639,2,1,30
04/07/2023,03:42,51.417581,-0.250464,1,1,50
06/07/2023,09:54,51.426169,-0.231911,1,6,20
13/07/2023,08:52,51.482723,-0.452639,3,2,50
15/07/2023,15:53,51.496919,-0.455904,1,1,50
09/07/2023,02:41,51.464172,-0.131639,2,1,20
30/06/2023,03:40,51.532013,-0.264607,1,1,20
30/07/2023,04:02,51.462421,-0.136318,1,1,20
05/08/2023,03:40,51.490573,-0.306845,1,1,40
06/08/2023,20:08,51.596387,0.027234,1,1,50
07/08/2023,16:32,51.565071,0.110553,1,1,30
11/08/2023,12:59,51.551086,-0.448922,1,1,30
14/08/2023,02:12,51.623225,-0.043516,2,2,40
18/08/2023,23:26,51.398399,-0.10025,5,1,30
22/08/2023,16:15,51.629951,-0.017247,2,1,30
23/08/2023,15:35,51.473928,-0.068328,1,1,20
10/08/2023,07:55,51.481786,-0.173161,2,1,20
10/09/2023,03:55,51.519784,-0.188563,1,1,20
10/09/2023,19:35,51.546461,-0.036845,3,2,20
12/09/2023,21:38,51.375068,-0.303337,1,1,50
14/09/2023,17:20,51.508916,-0.003744,1,1,40
15/09/2023,08:47,51.604084,-0.327652,2,1,30
15/09/2023,11:35,51.303824,-0.14866,1,1,40
21/09/2023,19:12,51.65225,-0.159593,1,1,20
21/09/2023,18:40,51.534999,-0.066292,2,1,20
25/09/2023,06:46,51.52372,-0.137275,3,2,20
06/10/2023,21:40,51.463436,-0.168797,1,1,20
12/10/2023,15:02,51.649093,-0.056858,2,1,30
15/10/2023,05:54,51.509862,-0.35749,2,1,20
09/10/2023,15:32,51.397775,0.113164,3,1,30
19/10/2023,05:52,51.53178,-0.109855,2,1,20
20/10/2023,13:20,51.57739,0.26495,1,1,70
20/10/2023,17:20,51.595768,-0.358349,2,1,30
29/10/2023,00:01,51.343149,-0.183661,1,1,30
29/10/2023,05:51,51.512188,0.184046,4,1,70
29/10/2023,11:35,51.492179,-0.408039,1,4,70
30/10/2023,06:44,51.401449,-0.038662,2,1,30
01/11/2023,11:19,51.431648,-0.306996,1,1,20
03/11/2023,12:14,51.427959,-0.168116,1,1,20
07/11/2023,11:17,51.593885,-0.106152,1,2,20
09/11/2023,17:26,51.448891,-0.131486,1,1,20
11/11/2023,12:29,51.350695,0.130113,2,1,60
20/11/2023,20:50,51.679473,-0.097173,2,1,30
25/11/2023,15:20,51.536789,-0.192055,1,1,20
30/11/2023,00:58,51.538691,-0.359394,1,1,40
05/12/2023,18:36,51.483878,-0.065819,2,1,20
07/12/2023,22:05,51.522509,-0.155646,1,2,30
08/12/2023,17:30,51.59606,0.022181,1,1,50
15/12/2023,02:53,51.507604,-0.006453,1,1,40
15/12/2023,17:16,51.584289,-0.020549,1,1,20
15/12/2023,21:00,51.351457,-0.019902,1,1,30
19/12/2023,06:07,51.646106,-0.186611,1,1,30
22/12/2023,17:07,51.611344,0.096218,1,1,30
08/12/2023,11:40,51.57341,-0.294447,3,1,20
28/08/2023,22:28,51.486825,0.170618,1,1,30
19/01/2023,13:30,54.387186,-3.418562,1,1,30
23/01/2023,17:21,54.836483,-3.077098,2,1,60
27/01/2023,15:15,54.846982,-2.863207,2,2,60
13/02/2023,17:51,54.647953,-3.47532,2,3,60
18/02/2023,07:57,54.930464,-2.803477,2,2,60
21/02/2023,07:56,54.6435,-3.542725,1,1,30
16/04/2023,12:17,54.247365,-2.429878,1,1,60
23/04/2023,20:11,54.724731,-2.80086,2,1,70
02/05/2023,13:19,54.330646,-2.622289,2,6,60
28/05/2023,10:30,54.63647,-2.764807,2,2,60
09/06/2023,18:38,54.584332,-2.494383,1,1,30
07/07/2023,06:12,54.524573,-2.319722,1,1,70
27/07/2023,17:36,54.931642,-2.742589,1,1,60
27/08/2023,12:50,54.474121,-2.373029,1,1,60
02/09/2023,15:36,54.99328,-3.047877,2,1,60
14/09/2023,12:20,54.451298,-2.911401,2,1,60
12/10/2023,06:15,54.240259,-2.726863,2,1,70
16/10/2023,19:50,54.826136,-2.888897,1,2,70
29/11/2023,11:00,54.535304,-2.567137,2,1,60
07/12/2023,22:54,54.763654,-2.834002,2,1,70
22/12/2023,11:04,54.763469,-3.333374,2,1,30
22/12/2023,18:45,54.655605,-3.457182,2,6,60
22/12/2023,09:25,54.200345,-2.588659,2,1,60
02/01/2023,11:10,53.914509,-2.844647,1,1,60
03/02/2023,05:30,53.77979,-2.569613,2,1,50
06/02/2023,17:24,53.844571,-3.053763,1,2,30
27/02/2023,10:18,54.053363,-2.738351,2,1,60
04/03/2023,23:40,54.065933,-2.695271,1,5,60
11/03/2023,01:50,53.790157,-2.246378,1,4,20
14/04/2023,22:45,53.57508,-2.778754,1,2,40
28/04/2023,11:43,53.851061,-3.0414,2,1,30
02/05/2023,10:02,53.87576,-3.0331,3,1,30
06/05/2023,21:29,53.750202,-2.429045,3,4,50
13/05/2023,18:52,53.679224,-2.309344,1,1,40
22/05/2023,01:15,53.787773,-2.275916,1,2,70
03/06/2023,18:04,53.752066,-2.335008,2,4,70
04/06/2023,18:07,53.766367,-2.680571,1,2,30
15/06/2023,08:35,53.871853,-2.811817,2,1,50
16/06/2023,20:08,53.52403,-2.882848,2,1,50
25/06/2023,12:40,53.830735,-3.056105,1,1,30
07/07/2023,19:20,53.767807,-2.333966,1,2,60
11/07/2023,14:17,53.673496,-2.171555,1,1,30
01/08/2023,16:21,53.733045,-2.707394,1,1,30
01/08/2023,11:30,53.772991,-2.38567,1,1,30
15/08/2023,13:15,53.847177,-2.74449,3,4,40
27/08/2023,20:21,53.855962,-2.177699,1,1,20
30/08/2023,04:02,53.530304,-2.865659,1,1,50
09/09/2023,10:50,53.784665,-2.301317,1,1,70
14/09/2023,00:02,53.739685,-2.984047,1,4,30
14/09/2023,13:04,54.148977,-2.746651,3,2,50
15/09/2023,23:15,53.816554,-3.0559,1,1,30
21/09/2023,09:17,53.747304,-2.470943,1,1,30
